yahoo.com,98.137.246.8
youtube.com,172.217.12.14
facebook.com,157.240.28.35
live.com,204.79.197.212
wikipedia.org,208.80.153.224
baidu.com,220.181.38.148
blogspot.com,172.217.1.201
taobao.com,140.205.94.189
bing.com,204.79.197.200
qq.com,58.247.214.47
163.com,123.58.180.8
ask.com,151.101.70.114
adobe.com,192.147.130.204
paipai.com,106.39.169.133
twitter.com,104.244.42.65
craigslist.org,208.82.237.129
bbc.co.uk,151.101.0.81
youku.com,106.11.186.1
soso.com,119.28.109.132
wordpress.com,192.0.78.9
hotmail.com,204.79.197.212
sina.com.cn,123.126.55.41
hp.com,15.72.228.83
360.cn,36.110.213.10
soku.com,106.11.47.19
yandex.ru,77.88.55.88
paipai.com,106.39.169.133
sohu.com,211.159.191.18
ebay.de,66.135.195.175
nifty.com,222.158.213.148
andysayler.com,138.197.228.157
mywebsearch.com,34.102.244.163
zynga.com,13.249.71.25
partypoker.com,195.72.134.91
craigslist.org,208.82.237.129
tianya.cn,124.225.65.154
weather.com,23.214.64.154
wordpress.com,192.0.78.9
bbc.co.uk,151.101.192.81
yahoo.co.jp,182.22.59.229
tudou.com,106.11.186.1
hp.com,15.73.104.147
walmart.com,161.170.230.170
soku.com,106.11.47.20
alibaba.com,205.204.101.142
yandex.ru,77.88.55.80
kugou.com,183.131.48.92
youdao.com,103.72.47.249
ebay.de,66.135.195.175
sohu.com,211.159.191.18
renren.com,120.133.2.241
livedoor.jp,203.104.153.16
blogger.com,172.217.2.9
vkontakte.ru,87.240.139.194
answers.com,151.101.128.203
rapidshare.com,0.0.0.0
daum.net,203.133.167.16
7k7k.com,106.75.22.155
2345.com,42.62.30.180
photobucket.com,209.17.68.100
cnet.com,35.190.79.82
hotfile.com,18.207.9.28
